Author,Comment,Sentiment
@khadars4599,హఠాత్తుగా ఈ సినిమా గుర్తు వచ్చి చూసా...చాలా చక్కటి సినిమా.....2023..2033..2043... ఇలా గడుస్తున్న సినిమా మీద బోర్ ఫీల్ రాదు....,Good
@sunilb1123,"ఈ మూవీ లో లాస్ట్ సాంగ్ మతమెల గతమెల అనే సాంగ్ ఒక్కటి చాలు ఈ సినిమా మొత్తానికి
ఇలాంటి సినిమాలు పాటలు ఇప్పట్లో వస్తే చాలా బాగుంటుంది",Good
@soppariraghavendar3284,"కంటతడి పెట్టించారు గా సామి.....
ఇంత అద్భుతంగా చూపించిన ఆ మహానుభావునికి....
పాధాబి వందనాలు తెలుపుకుంటున్నాను...",Good
@TrendingTollywood,Evaramma 2024 lo kuda chustunnavaruu ... Em feel undhe mamaa Mani sir film ️️,Good
@interestingfacts5902,"నేను హిందూ కాదు ముస్లిం కాదు.. నేను భారతీయుడిని రా.... ఆ డైలాగ్ చాలా ఎమోషనల్ గా ఉంది...
Iam an Indian....",Good
@MrMBA.,"Mesmerizing music by A.R.Rahman Sir.
    Bombay movie should be Re- Released in Theatres 
    Who agrees with me?",Good
@rajeshshankula5600,A.r Rahman music e cinema ki pranam poosindi ..yes aithe like eskondi,Good
@bp-bn2pc,"అద్భుతమైన మెసేజ్ ప్రతీ హిందూ ముస్లిం ప్రజలందరూ గమనించాల్సింది ఒక్కటే మనం అంతా ఒక్కటే. 
రాజకీయ నాయకులు వాళ్ళ స్వలాభం కోసం చిచ్చు పెట్టే ప్రయత్నం చేస్తారు వాళ్ళని అనుసరించి కులాల మద్యన చిచ్చులు మతాల మద్యన చిచ్చులు. పెట్టి రాజకీయం చేస్తారు వాళ్ళ బాగుంటారు జనాలు పోతారు. అన్ని కులాల వారు",Good
@navvu_aapukuntunav_kadhara,"1990's lo real ga జరిగిన ఒక sensitive issue Ni చాలా చక్కగా చూపించిన మణిరత్నం గారికి నా హృదయపూర్వక ధన్యవాదాలు.
ఇటువంటి సినిమాను ఇంతకాలం చూడనందుకు చాలా బాధగా ఉంది...
ఇదే సినిమా ఈ రోజుల్లో relase అయ్యుంటే.. బాహుబలి records ని బద్ధలుకొట్టేది. Message was super... ""మనందరం హిందువులం, ముస్లిం లము కాదు ముందు మనం భారతీయులం.🇮🇳 "" Movie మాత్రం నా  ని touch చేసింది sir",Good
@bhaskardevarakonda9577,ఇంటగొప్ప సినిమా ఇన్నాళ్లు చూడలేకపోయినందుకు బాధపడుతున్నాను...ఇలాంటి అద్భుతాన్ని ఆవిష్కరించిన మణిరత్నం గారికి శతకోటివందనాలు,Good
